response_time,label
457,0
3272,0
129,0
136,0
640,0
3000,1
3000,1
46,1
1698,1
3000,1
1923,0
3000,0
1989,0
565,0
1257,0
821,1
689,0
708,1
121,0
967,0
1446,0
3000,0
1171,1
1251,0
3000,1
125,0
532,1
1795,0
3000,1
476,1
3000,1
3000,1
2311,1
1180,0
3000,0
248,0
625,0
1800,0
633,0
1913,1
3000,0
1326,0
3818,1
3000,0
3000,0
3000,0
3000,1
1171,1
3000,1
3000,0
3000,0
3000,1
833,1
3000,1
3000,1
3165,0
727,1
3000,0
3000,1
1186,0
937,1
1442,0
3000,0
563,0
310,0
3000,0
715,0
3000,0
554,1
2211,1
2242,0
3000,0
637,1
1460,1
685,1
1176,0
410,1
2239,0
2411,0
1788,0
3000,0
3000,1
1839,0
1963,0
3000,0
2939,0
966,0
3354,0
1041,0
3845,1
3530,1
3000,0
1869,0
2799,0
3000,1
250,0
2275,1
938,1
3000,0
3000,0
1409,1
1251,1
3124,0
1020,0
3000,0
1842,0
341,1
2024,0
3000,0
1394,0
952,0
2159,0
618,0
610,1
3000,1
3000,0
1873,0
1901,1
629,0
1892,1
3000,1
1399,0
812,1
1767,0
1638,1
1005,0
1522,0
3000,1
2962,0
3000,1
2920,1
1121,0
2572,0
3208,0
1943,0
3000,0
1312,1
3000,0
1286,0
1253,0
3000,1
3000,1
3000,1
3000,1
801,0
1572,0
625,1
3000,0
2700,1
1093,0
1949,0
1338,1
1979,0
3000,1
3000,0
3000,0
1566,0
1325,0
382,0
3000,1
3000,0
3000,0
1314,1
2548,0
1892,1
2545,0
3000,1
3000,1
3000,0
818,1
3000,1
2335,0
2482,0
3000,0
2696,1
3000,1
3000,1
887,0
3000,0
3000,0
3000,1
1106,0
3000,0
2427,0
1596,0
2480,0
3311,0
1197,1
1919,0
1285,1
2391,0
2707,0
3000,1
2598,0
1123,1
1901,0
3000,1
3000,1
3000,0
1971,0
2161,0
1908,0
371,1
1495,0
1202,1
1956,0
1978,0
3000,1
1848,0
3000,0
1265,1
1132,0
1924,0
3000,1
4176,0
1595,0
1212,0
3000,0
2252,0
3816,1
3000,0
3000,0
2978,1
1258,0
3365,0
564,1
3000,0
821,0
1844,0
3000,0
4136,1
3000,0
1989,0
3000,1
3000,0
1879,0
1911,1
1201,0
3000,1
3000,0
3344,0
1329,0
3259,0
1200,1
1970,0
1332,0
1953,0
2528,0
3574,0
3000,1
1262,1
2641,0
1060,1
2132,0
1283,1
2230,0
1425,1
3000,0
650,0
1261,0
1949,0
3000,0
3000,1
3000,1
3970,0
679,0
1329,0
1634,1
3000,1
2138,1
1832,1
3000,1
1882,0
3000,1
2771,0
3000,0
3116,1
1898,0
1328,1
2146,0
1910,0
1266,1
3000,0
1438,0
2051,0
2552,0
1855,0
4428,0
3000,1
3000,1
2437,0
3000,0
1246,0
2548,0
988,0
3000,0
3508,0
1648,1
2155,1
3000,1
3000,1
1275,0
3000,0
3000,0
1252,0
2445,0
2244,1
2080,0
2289,1
2228,0
998,0
913,1
1252,0
971,0
1870,1
1303,1
1526,0
897,0
2738,0
3000,0
3000,0
677,0
1855,1
1275,0
953,0
3000,1
1348,0
3000,1
3000,0
3000,0
967,0
1199,1
3755,0
1867,0
3000,1
3196,0
3000,0
3000,1
1756,0
1207,0
3000,1
3000,1
3000,1
3000,0
3000,0
1280,0
3081,0
1275,1
1222,0
1952,0
185,0
3000,0
2407,0
3000,0
3173,0
1581,0
1468,0
3000,1
3000,0
1632,0
1764,0
1972,1
2458,0
3489,0
3000,0
3000,1
3000,1
1321,0
1188,1
2058,0
2379,0
911,0
2049,1
1656,0
1948,1
1507,0
3000,1
1880,0
770,1
1871,1
1839,1
1397,0
2067,0
1174,0
1165,1
3000,1
1462,1
1075,0
1259,0
1835,0
628,0
3000,0
2227,1
1178,0
1803,0
3000,1
1249,1
4549,1
3000,1
2027,0
3000,0
1482,0
553,0
2393,1
3806,0
3000,0
753,0
3869,0
1214,0
1746,0
1911,0
1866,0
1899,1
1925,0
3000,1
2690,0
3000,1
1327,0
3000,0
1364,1
1815,0
3000,1
3000,1
2130,0
1820,0
3000,1
1270,0
3764,0
1836,0
2011,1
3000,1
2678,1
1316,0
3000,0
3000,0
924,0
1883,0
1730,0
1869,0
3000,1
3000,0
3000,1
1429,0
1772,0
3000,1
3252,1
2551,1
1786,1
3000,1
3261,0
2411,1
2608,0
1364,0
4289,0
1878,0
4480,1
1988,1
1845,0
2358,0
1276,0
7003,1
3000,0
3000,1
3000,0
3000,1
2628,0
1345,0
705,0
2840,0
1285,0
2134,1
2861,0
3296,0
3660,1
5666,0
2126,1
2546,1
1661,0
685,0
6089,0
3000,1
466,0
1459,1
3000,1
1491,1
3000,1
3000,0
2361,1
2130,1
3000,1
1215,1
2085,0
3000,1
542,0
2516,1
1948,0
1963,0
2319,0
1609,0
3000,0
3000,0
915,0
2203,0
4110,0
3000,0
3000,0
3000,0
3000,0
3000,1
3000,1
3000,1
2209,0
2796,1
3000,0
2021,0
3000,0
998,0
6077,0
1886,0
2171,0
856,1
738,0
3000,0
3000,1
3000,0
3675,1
6092,0
3000,1
3000,0
3985,0
2211,0
4410,1
1104,1
3000,0
2036,0
2179,1
3000,0
2893,0
3000,0
1214,1
2537,1
3000,1
1390,0
3000,1
3000,0
3000,0
3000,1
3000,1
3000,1
3000,0
3285,1
2454,0
1914,0
3000,1
899,1
3342,1
3000,0
3164,1
3000,1
2554,0
3489,0
3000,1
2855,1
3000,0
2902,0
3000,0
2514,0
1181,0
2532,0
2078,0
2297,0
3215,0
3000,1
3453,0
3000,0
2726,0
3000,0
3000,1
2349,1
3000,1
1336,0
3000,1
2167,1
3000,1
1928,0
1364,1
1277,0
3265,0
3444,0
3000,1
1075,0
1162,0
942,1
1826,0
626,1
4376,0
1789,0
480,0
1147,1
3000,1
3000,0
3000,1
1811,1
1893,0
2030,0
1276,0
3000,0
3000,1
3029,1
3000,0
3000,1
3000,1
3000,0
3000,0
3434,1
683,1
3000,0
3163,1
972,0
1405,0
2468,0
4139,0
3000,0
3000,0
1181,0
3000,1
5946,1
1387,0
3000,1
3000,1
3801,1
3000,0
2687,1
1435,0
3000,0
3000,1
3707,0
1874,1
1894,0
3000,1
3871,1
2520,1
2429,0
3123,1
3236,0
621,1
3000,1
1756,1
3000,0
3000,1
3000,0
1726,0
1249,0
1922,0
1905,0
3000,1
1810,0
3000,1
4188,0
3000,0
3000,0
1164,1
2216,1
1486,0
2209,1
2055,0
1934,0
3000,0
3000,1
1512,0
3000,1
3000,0
669,0
3000,1
3000,0
2030,0
443,0
2402,0
3000,1
1416,1
3000,0
5077,1
2965,0
3000,0
881,0
3000,0
2572,0
1485,1
3000,0
6673,0
3000,0
813,0
1796,1
2019,1
3000,1
372,0
3000,1
3000,0
1452,0
3000,1
1856,1
3000,0
3000,1
2233,0
3000,1
3000,0
3000,0
2800,0
1848,0
3666,0
731,1
1911,0
1093,1
1825,1
2457,0
1873,0
3000,0
1574,0
3000,1
1882,0
3000,1
1298,0
1396,0
1628,1
3000,1
3065,1
3956,1
1853,1
340,0
2259,0
3000,1
3000,1
3000,1
1156,0
3000,0
2182,0
1775,0
3000,1
4045,0
3000,0
1586,0
826,0
1871,0
2078,0
271,1
3001,1
1691,0
3000,0
953,0
1480,1
3000,0
3000,1
1130,0
3000,1
3586,0
3000,1
1334,0
2954,0
1589,0
1724,0
469,1
1608,0
3000,1
884,0
3000,0
1615,0
3000,1
5659,1
1101,0
914,0
1797,1
1337,0
1650,1
3000,0
3000,1
3000,1
3090,0
3000,0
1616,0
1627,1
1658,1
1325,1
1846,0
1359,0
3000,0
3000,1
3000,1
3000,0
3000,1
1723,0
3000,1
1979,0
2403,0
1725,1
2264,0
4633,0
3000,0
3000,0
3000,0
3000,0
3000,1
1375,1
1117,0
3000,0
1148,1
2164,0
3374,0
3000,1
695,1
3000,0
3000,0
3000,1
3972,0
1967,0
1673,1
2386,1
1619,0
3911,1
1373,0
4473,1
3360,0
3000,0
1582,0
3000,0
3707,1
3000,1
1675,0
1113,0
3000,0
653,0
3000,0
1799,0
942,0
3000,1
1439,0
653,1
1836,0
3000,1
3475,1
1579,0
1910,0
3000,0
3000,0
574,0
5640,0
2151,1
655,0
3000,1
3000,1
1432,1
3000,1
2212,0
912,1
1158,1
874,0
1273,0
3000,0
1011,0
678,1
3000,1
2242,0
3000,0
1837,1
2432,1
1491,1
1532,0
3648,0
639,0
3000,1
1863,0
1638,1
3000,0
3000,1
1919,0
638,1
1635,0
1408,0
1470,1
566,0
3283,1
2371,1
3000,1
3000,1
3996,0
1544,0
1127,1
3000,1
2086,0
3000,1
1753,0
645,0
1737,0
3000,1
860,0
1100,1
2955,0
3000,0
1270,0
1223,1
1253,1
3475,0
3000,0
1608,0
1545,1
834,0
3000,0
1029,1
3000,1
1021,0
6664,1
3000,0
3000,1
1501,0
1444,0
1679,0
568,0
1556,1
642,0
3000,1
3000,1
1251,1
1712,1
670,1
929,0
467,1
1101,0
3000,0
3000,0
1773,1
1243,0
1423,1
703,0
1356,0
3000,1
1975,1
1937,0
1488,1
1397,1
3922,0
1167,1
3000,0
853,1
3000,1
2419,1
1570,0
3000,1
1470,0
1479,1
986,0
1649,0
1147,0
3000,0
747,0
3000,1
1117,0
988,1
1294,0
3000,1
681,0
1022,0
2147,1
1289,0
617,1
725,0
3000,1
3000,0
2361,1
1397,1
770,0
3000,1
155,0
1136,1
1273,0
1103,0
3000,0
1538,1
1126,1
1268,0
1128,1
5872,1
913,0
362,1
3000,0
3000,0
2199,0
1120,0
2618,0
3000,1
2053,0
400,0
3000,1
3000,1
1483,0
1494,1
2095,1
1647,1
975,1
3000,0
988,1
3000,1
1310,1
