protocol,IP_present,url_length,dots_in_url,domain_length,number_of_domains,hyphen_count_in_domain,largest_domain_length,avg_domain_length,directory_length,sub_directory_count,largest_directory_length,avg_directory_length,suspicious_TLD,file_name_length,dost_file_name,delims_file_name,argument_length,number_of_arguments,largest_arg_length,max_delims_in_args,created_days_ago,updated_days_ago,expiration_days_remain,zipcode,label
0.0,0.0,167.0,1.0,7.0,2.0,0.0,3.0,3.0,17.0,3.0,5.0,4.333333333333333,0.0,143.0,0.0,2.0,0.0,0.0,0.0,0.0,7889.0,1423.0,511.0,-1.0,1.0
0.0,0.0,82.0,7.0,44.0,6.0,1.0,10.0,6.5,28.0,2.0,19.0,12.5,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,3634.0,348.0,19.0,-1.0,0.0
0.0,0.0,88.0,2.0,13.0,2.0,0.0,10.0,6.0,8.0,1.0,6.0,6.0,0.0,67.0,1.0,14.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,0.0,124.0,2.0,11.0,2.0,0.0,7.0,5.0,18.0,3.0,7.0,4.666666666666667,0.0,76.0,1.0,11.0,19.0,1.0,4.0,1.0,1892.0,107.0,300.0,-1.0,1.0
0.0,0.0,98.0,1.0,17.0,2.0,0.0,13.0,8.0,81.0,4.0,68.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7505.0,229.0,166.0,-1.0,1.0
0.0,0.0,83.0,1.0,6.0,2.0,0.0,3.0,2.5,28.0,3.0,13.0,8.0,0.0,49.0,0.0,7.0,0.0,0.0,0.0,0.0,10493.0,631.0,3021.0,-1.0,1.0
0.0,0.0,88.0,2.0,14.0,3.0,0.0,7.0,4.0,57.0,2.0,52.0,27.0,0.0,5.0,0.0,0.0,12.0,1.0,2.0,0.0,8133.0,143.0,267.0,915218029.0,1.0
0.0,0.0,46.0,2.0,15.0,3.0,0.0,7.0,4.333333333333333,31.0,3.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,119.0,241.0,-1.0,0.0
0.0,0.0,33.0,2.0,13.0,2.0,0.0,9.0,6.0,6.0,1.0,4.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4097.0,62.0,286.0,1017.0,0.0
0.0,0.0,116.0,3.0,15.0,3.0,0.0,8.0,4.333333333333333,10.0,1.0,8.0,8.0,0.0,16.0,1.0,0.0,75.0,5.0,6.0,4.0,5659.0,-1.0,924.0,-1.0,1.0
0.0,0.0,275.0,2.0,11.0,2.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,259.0,1.0,6.0,1.0,7390.0,90.0,281.0,94103.0,1.0
0.0,0.0,92.0,2.0,9.0,3.0,0.0,3.0,2.3333333333333335,77.0,6.0,17.0,11.666666666666666,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,240.0,157.0,-1.0,1.0
0.0,0.0,50.0,4.0,26.0,4.0,0.0,15.0,5.75,13.0,2.0,7.0,5.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,119.0,1.0,11.0,2.0,0.0,7.0,5.0,89.0,4.0,72.0,21.0,0.0,0.0,0.0,0.0,19.0,1.0,10.0,0.0,8612.0,242.0,153.0,-1.0,1.0
0.0,0.0,81.0,1.0,17.0,2.0,0.0,13.0,8.0,20.0,2.0,9.0,8.5,0.0,44.0,0.0,4.0,0.0,0.0,0.0,0.0,5955.0,99.0,292.0,10038.0,1.0
0.0,0.0,79.0,1.0,12.0,2.0,0.0,8.0,5.5,33.0,5.0,11.0,5.4,0.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0,5385.0,204.0,2285.0,10011.0,1.0
0.0,0.0,69.0,1.0,18.0,2.0,0.0,14.0,8.5,51.0,4.0,32.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4158.0,126.0,225.0,-1.0,0.0
1.0,0.0,81.0,1.0,11.0,2.0,0.0,7.0,5.0,19.0,4.0,7.0,3.5,0.0,51.0,0.0,7.0,0.0,0.0,0.0,0.0,8820.0,798.0,1043.0,902103818.0,1.0
0.0,0.0,96.0,2.0,17.0,2.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,78.0,1.0,16.0,0.0,0.0,0.0,0.0,3456.0,142.0,562.0,80201.0,1.0
0.0,0.0,41.0,2.0,11.0,2.0,0.0,7.0,5.0,5.0,1.0,3.0,3.0,0.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,0.0,88.0,2.0,9.0,2.0,0.0,6.0,4.0,67.0,5.0,26.0,12.2,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,93.0,1.0,9.0,2.0,0.0,5.0,4.0,84.0,3.0,47.0,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9543.0,422.0,2877.0,-1.0,1.0
1.0,0.0,83.0,1.0,9.0,2.0,0.0,5.0,4.0,16.0,2.0,8.0,6.5,0.0,35.0,0.0,6.0,23.0,2.0,6.0,1.0,5745.0,266.0,99.0,-1.0,1.0
0.0,0.0,86.0,1.0,13.0,2.0,0.0,10.0,6.0,16.0,3.0,10.0,4.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,127.0,1.0,13.0,2.0,0.0,9.0,6.0,114.0,2.0,91.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8344.0,355.0,56.0,60101001.0,1.0
0.0,0.0,123.0,1.0,11.0,2.0,0.0,7.0,5.0,94.0,4.0,78.0,22.25,0.0,0.0,0.0,0.0,18.0,1.0,10.0,0.0,8612.0,242.0,153.0,-1.0,1.0
0.0,0.0,235.0,1.0,9.0,2.0,0.0,5.0,4.0,16.0,3.0,5.0,4.0,0.0,210.0,0.0,9.0,0.0,0.0,0.0,0.0,2584.0,26.0,338.0,-1.0,1.0
0.0,0.0,102.0,1.0,7.0,2.0,0.0,3.0,3.0,17.0,2.0,8.0,7.0,0.0,78.0,0.0,13.0,0.0,0.0,0.0,0.0,9695.0,407.0,1992.0,981081226.0,1.0
1.0,0.0,165.0,1.0,13.0,2.0,0.0,9.0,6.0,71.0,2.0,63.0,34.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,4102.0,642.0,1186.0,85260.0,1.0
0.0,0.0,31.0,4.0,30.0,5.0,0.0,7.0,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8239.0,1393.0,161.0,19103.0,0.0
0.0,0.0,37.0,3.0,19.0,3.0,0.0,11.0,5.666666666666667,8.0,2.0,5.0,2.5,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,5205.0,106.0,274.0,60647.0,0.0
0.0,0.0,79.0,1.0,11.0,2.0,0.0,7.0,5.0,68.0,5.0,26.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,0.0,99.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,74.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,53.0,1.0,21.0,2.0,0.0,17.0,10.0,32.0,5.0,11.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,0.0,100.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,75.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,70.0,5.0,25.0,3.0,0.0,17.0,7.666666666666667,35.0,4.0,17.0,7.5,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2983.0,68.0,305.0,98083.0,0.0
0.0,0.0,64.0,5.0,20.0,3.0,1.0,13.0,6.0,16.0,2.0,7.0,6.5,0.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,83.0,1.0,8.0,2.0,0.0,4.0,3.5,7.0,1.0,5.0,5.0,0.0,68.0,0.0,11.0,0.0,0.0,0.0,0.0,7360.0,230.0,3179.0,-1.0,1.0
0.0,0.0,44.0,6.0,27.0,6.0,0.0,6.0,3.6666666666666665,10.0,2.0,5.0,3.5,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,33.0,2.0,13.0,2.0,0.0,9.0,6.0,6.0,1.0,4.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4097.0,62.0,286.0,1017.0,0.0
0.0,0.0,77.0,1.0,14.0,2.0,0.0,11.0,6.5,63.0,4.0,48.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,88.0,6.0,15.0,3.0,0.0,8.0,4.333333333333333,53.0,7.0,18.0,6.428571428571429,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,5384.0,-1.0,3017.0,-1.0,0.0
0.0,0.0,103.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,78.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,106.0,2.0,27.0,2.0,0.0,24.0,13.0,65.0,9.0,11.0,6.111111111111111,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2782.0,62.0,140.0,-1.0,0.0
0.0,0.0,132.0,1.0,9.0,2.0,0.0,6.0,4.0,6.0,1.0,4.0,4.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,93.0,2.0,9.0,3.0,0.0,3.0,2.3333333333333335,20.0,2.0,9.0,8.5,0.0,0.0,0.0,0.0,64.0,3.0,12.0,1.0,4230.0,240.0,157.0,-1.0,1.0
0.0,0.0,81.0,1.0,7.0,2.0,0.0,3.0,3.0,17.0,2.0,8.0,7.0,0.0,57.0,0.0,8.0,0.0,0.0,0.0,0.0,9695.0,407.0,1992.0,981081226.0,1.0
0.0,0.0,191.0,10.0,71.0,11.0,2.0,10.0,5.545454545454546,120.0,1.0,118.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0
0.0,0.0,34.0,2.0,17.0,2.0,0.0,13.0,8.0,9.0,2.0,3.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5117.0,2.0,362.0,75013.0,0.0
0.0,0.0,225.0,1.0,9.0,2.0,0.0,5.0,4.0,18.0,3.0,6.0,4.666666666666667,0.0,198.0,0.0,6.0,0.0,0.0,0.0,0.0,2584.0,26.0,338.0,-1.0,1.0
0.0,0.0,78.0,1.0,11.0,2.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,66.0,0.0,11.0,0.0,0.0,0.0,0.0,6498.0,294.0,77.0,10036.0,1.0
0.0,0.0,51.0,1.0,17.0,2.0,0.0,14.0,8.0,34.0,4.0,10.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4375.0,-1.0,1558.0,-1.0,0.0
0.0,0.0,150.0,1.0,9.0,2.0,0.0,6.0,4.0,6.0,1.0,4.0,4.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,142.0,3.0,17.0,2.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,110.0,2.0,27.0,5.0,4085.0,216.0,2854.0,-1.0,1.0
0.0,0.0,78.0,1.0,12.0,2.0,0.0,8.0,5.5,1.0,0.0,0.0,0.0,0.0,65.0,0.0,11.0,0.0,0.0,0.0,0.0,6751.0,182.0,189.0,10036.0,1.0
0.0,0.0,86.0,2.0,6.0,2.0,0.0,3.0,2.5,9.0,2.0,4.0,3.0,0.0,71.0,1.0,8.0,0.0,0.0,0.0,0.0,5167.0,1796.0,312.0,-1.0,1.0
0.0,0.0,110.0,1.0,14.0,2.0,0.0,10.0,6.5,96.0,5.0,72.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4274.0,423.0,109.0,-1.0,1.0
0.0,0.0,36.0,2.0,24.0,3.0,0.0,16.0,7.333333333333333,12.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2715.0,149.0,207.0,-1.0,0.0
0.0,0.0,84.0,2.0,12.0,2.0,0.0,8.0,5.5,16.0,2.0,7.0,6.5,0.0,52.0,1.0,7.0,4.0,1.0,1.0,0.0,4763.0,44.0,351.0,3076.0,1.0
0.0,0.0,87.0,1.0,9.0,2.0,0.0,5.0,4.0,11.0,2.0,6.0,4.0,0.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,2584.0,26.0,338.0,-1.0,1.0
0.0,0.0,85.0,1.0,12.0,2.0,0.0,8.0,5.5,19.0,4.0,6.0,3.5,0.0,54.0,0.0,9.0,0.0,0.0,0.0,0.0,5710.0,2446.0,864.0,33301.0,1.0
0.0,0.0,91.0,2.0,12.0,3.0,0.0,5.0,3.3333333333333335,4.0,1.0,2.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.0,203.0,1.0,-1.0,1.0
0.0,0.0,96.0,2.0,13.0,2.0,0.0,9.0,6.0,5.0,1.0,3.0,3.0,0.0,5.0,1.0,0.0,73.0,4.0,8.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
0.0,0.0,127.0,1.0,11.0,2.0,0.0,8.0,5.0,6.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,110.0,1.0,3.0,3.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,97.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,72.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,86.0,1.0,7.0,2.0,0.0,3.0,3.0,17.0,2.0,8.0,7.0,0.0,62.0,0.0,10.0,0.0,0.0,0.0,0.0,9695.0,407.0,1992.0,981081226.0,1.0
0.0,0.0,105.0,2.0,10.0,2.0,0.0,7.0,4.5,1.0,0.0,0.0,0.0,0.0,94.0,1.0,12.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,83.0,1.0,17.0,2.0,0.0,13.0,8.0,66.0,4.0,53.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7505.0,229.0,166.0,-1.0,1.0
0.0,0.0,82.0,1.0,17.0,2.0,0.0,13.0,8.0,65.0,4.0,52.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7505.0,229.0,166.0,-1.0,1.0
0.0,0.0,55.0,3.0,22.0,3.0,1.0,13.0,6.666666666666667,13.0,1.0,11.0,11.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,3400.0,120.0,253.0,85260.0,0.0
0.0,0.0,62.0,2.0,22.0,3.0,0.0,14.0,6.666666666666667,40.0,1.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8020.0,1642.0,745.0,-1.0,0.0
0.0,0.0,233.0,31.0,12.0,2.0,0.0,8.0,5.5,9.0,1.0,7.0,7.0,0.0,48.0,1.0,0.0,164.0,1.0,5.0,0.0,3275.0,359.0,13.0,-1.0,1.0
0.0,0.0,93.0,1.0,8.0,2.0,0.0,4.0,3.5,85.0,3.0,75.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9041.0,701.0,455.0,-1.0,1.0
0.0,0.0,92.0,1.0,12.0,2.0,0.0,8.0,5.5,5.0,1.0,3.0,3.0,0.0,75.0,0.0,14.0,0.0,0.0,0.0,0.0,5467.0,922.0,377.0,981081226.0,1.0
0.0,0.0,99.0,1.0,21.0,2.0,0.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0,70.0,0.0,9.0,7.0,1.0,4.0,0.0,3290.0,1817.0,728.0,85260.0,1.0
0.0,0.0,77.0,1.0,13.0,2.0,0.0,9.0,6.0,18.0,2.0,9.0,7.5,0.0,46.0,0.0,6.0,0.0,0.0,0.0,0.0,8933.0,99.0,292.0,10038.0,1.0
0.0,0.0,87.0,1.0,9.0,2.0,0.0,6.0,4.0,6.0,1.0,4.0,4.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0
0.0,0.0,136.0,2.0,12.0,2.0,0.0,8.0,5.5,20.0,2.0,10.0,8.5,0.0,55.0,0.0,7.0,49.0,3.0,10.0,1.0,8229.0,224.0,171.0,-1.0,1.0
0.0,0.0,81.0,1.0,14.0,2.0,0.0,10.0,6.5,60.0,3.0,33.0,18.666666666666668,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3822.0,442.0,561.0,-1.0,1.0
0.0,0.0,85.0,1.0,8.0,2.0,0.0,4.0,3.5,77.0,2.0,61.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5778.0,300.0,66.0,85260.0,1.0
0.0,0.0,98.0,2.0,13.0,2.0,0.0,9.0,6.0,5.0,1.0,3.0,3.0,0.0,5.0,1.0,0.0,75.0,4.0,8.0,1.0,1850.0,24.0,342.0,85260.0,1.0
1.0,0.0,75.0,1.0,11.0,2.0,0.0,7.0,5.0,19.0,4.0,7.0,3.5,0.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0,8820.0,798.0,1043.0,902103818.0,1.0
0.0,0.0,89.0,1.0,14.0,2.0,0.0,10.0,6.5,75.0,5.0,56.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4274.0,423.0,109.0,-1.0,1.0
0.0,0.0,33.0,2.0,13.0,2.0,0.0,9.0,6.0,6.0,1.0,4.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4097.0,62.0,286.0,1017.0,0.0
0.0,0.0,103.0,2.0,10.0,2.0,0.0,6.0,4.5,6.0,1.0,4.0,4.0,0.0,9.0,1.0,0.0,78.0,9.0,8.0,0.0,983.0,239.0,113.0,1803.0,1.0
0.0,0.0,33.0,2.0,13.0,2.0,0.0,9.0,6.0,6.0,1.0,4.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4097.0,62.0,286.0,1017.0,0.0
0.0,0.0,100.0,2.0,34.0,3.0,0.0,27.0,10.666666666666666,66.0,5.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,80.0,1.0,15.0,2.0,0.0,11.0,7.0,64.0,9.0,24.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2634.0,77.0,288.0,-1.0,1.0
0.0,0.0,90.0,1.0,10.0,2.0,0.0,6.0,4.5,64.0,4.0,23.0,14.75,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8751.0,18.0,381.0,981081226.0,1.0
0.0,0.0,77.0,1.0,12.0,2.0,0.0,9.0,5.5,5.0,1.0,3.0,3.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3432.0,1426.0,221.0,-1.0,1.0
0.0,0.0,91.0,1.0,17.0,2.0,0.0,13.0,8.0,20.0,2.0,9.0,8.5,0.0,54.0,0.0,11.0,0.0,0.0,0.0,0.0,5955.0,99.0,292.0,10038.0,1.0
0.0,0.0,103.0,1.0,14.0,2.0,0.0,10.0,6.5,18.0,4.0,5.0,3.25,0.0,52.0,0.0,5.0,19.0,1.0,9.0,1.0,6217.0,6.0,358.0,-1.0,1.0
0.0,0.0,30.0,2.0,20.0,3.0,0.0,10.0,6.0,10.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7623.0,302.0,48.0,-1.0,0.0
0.0,0.0,88.0,1.0,15.0,2.0,0.0,11.0,7.0,65.0,3.0,38.0,20.333333333333332,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4524.0,434.0,590.0,-1.0,1.0
0.0,0.0,92.0,1.0,11.0,2.0,0.0,7.0,5.0,81.0,4.0,64.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8612.0,242.0,153.0,-1.0,1.0
0.0,0.0,118.0,2.0,15.0,2.0,0.0,12.0,7.0,17.0,2.0,7.0,7.0,0.0,86.0,1.0,2.0,0.0,0.0,0.0,0.0,3422.0,1105.0,1326.0,-1.0,1.0
0.0,0.0,42.0,4.0,17.0,4.0,0.0,6.0,3.5,19.0,2.0,9.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0
0.0,0.0,77.0,2.0,14.0,2.0,0.0,10.0,6.5,23.0,2.0,13.0,10.0,0.0,9.0,1.0,0.0,31.0,2.0,6.0,1.0,7950.0,103.0,85.0,-1.0,1.0
0.0,0.0,264.0,2.0,11.0,2.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,248.0,1.0,6.0,1.0,7390.0,90.0,281.0,94103.0,1.0
1.0,0.0,96.0,1.0,14.0,2.0,0.0,10.0,6.5,58.0,2.0,54.0,27.5,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6596.0,2953.0,344.0,-1.0,1.0
